"Reporting Month;""Sales Month"";Platform;Country/Region;""Label Name"";""Artist Name"";""Release title"";""Track title"";UPC;ISRC;""Release Catalog nb"";""Release Type"";""Sales Type"";Quantity;""Client Payment Currency"";""Net Revenue"";Label_Rate",
"01/11/2025;01/11/2025;""YouTube Official Content"";India;""RoyalMotion IT"";""Max Mazed"";""Echoes For the Sleepless"";""Chasing Dreams"";3618023107933;QZ-NWY-21-45920;RMITMAX02;""Music Release"";Stream;1;EUR;0.001044494544;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Canada;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Tumi Ki Jante"";3618023588022;QZ-MER-22-66880;RMITAHS027;""Music Release"";Stream;2;EUR;0.007074774997;90.00",
"01/11/2025;01/09/2025;TikTok;Bangladesh;""RoyalMotion IT"";""Arif Chowdhury Prince"";""Tomay Vebe Vebe"";""Tomay Vebe Vebe"";7316470349895;HK-K97-22-02083;RMITACP01;""Music Release"";Creation;1;EUR;0.000930076336;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Germany;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;3;EUR;0.007156905141;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""United Kingdom"";""RoyalMotion IT"";""Rajib Bhattacharjee"";""Nodi Tumi Apon Mone"";""Nodi Tumi Apon Mone"";3617668678907;FR-10S-25-27145;RMITRB02;""Music Release"";Stream;1;EUR;0.000047898648;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";Philippines;""RoyalMotion IT"";""Ranjan Chowdhury"," Subhamita Banerjee"";""Bolo To Tumi"";""Bolo To Tumi"";3617668545759;FR-10S-25-17317;RMITRC12;""Music Release"";Stream;1;EUR;0.000312334622;90.00"
"01/11/2025;01/11/2025;""YouTube Official Content"";Nepal;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;1;EUR;0.001163618602;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""United Kingdom"";""RoyalMotion IT"";""Max Mazed"";Prithibi;MARS;3618023107919;QZ-RP5-25-86526;RMITMAX01;""Music Release"";Stream;2;EUR;0.000095797296;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";India;""RoyalMotion IT"";""Ahmed Hasan Sunny"";""Ei Shob"";""Ei Shob"";3618023426096;QZ-NWU-22-02702;RMITAHS016;""Music Release"";Stream;7;EUR;0.006313251590;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";India;""RoyalMotion IT"";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;""Music Release"";Stream;1;EUR;0.001044494544;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Cyprus;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;2;EUR;0.000737008954;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Oman;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy 2"";3618023588022;QZ-MER-22-66882;RMITAHS027;""Music Release"";Stream;4;EUR;0.000528633339;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";France;""RoyalMotion IT"";""Purnoy Hoq"";""Pera Nai Chill 2"";""Pera Nai Chill 2"";3617668323364;QZ-TAS-24-88692;RMITPQ01;""Music Release"";Stream;7;EUR;0.005938632193;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Australia;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Ke Ar Bajate Pare"";3618023588022;QZ-MER-22-66886;RMITAHS027;""Music Release"";Stream;3;EUR;0.021817280879;90.00",
"01/11/2025;01/11/2025;""Apple Music"";India;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Ke Ar Bajate Pare"";3618023588022;QZ-MER-22-66886;RMITAHS027;""Music Release"";Stream;12;EUR;0.008479544232;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Kuwait;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy 2"";3618023588022;QZ-MER-22-66882;RMITAHS027;""Music Release"";Stream;3;EUR;0.001040275798;90.00",
"01/11/2025;01/09/2025;""Facebook / Instagram"";India;""RoyalMotion IT"";""Arif Chowdhury Prince"";""Prothom Dekha"";""Prothom Dekha"";7316470718929;HK-K97-22-20677;RMITACP02;""Music Release"";Creation;6;EUR;0.000251825603;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Italy;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;10;EUR;0.017141950151;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";India;""RoyalMotion IT"";""Band Chandrarango"";""Tomar Kolpona"";""Tomar Kolpona তোমার কল্পনা"";3617666130186;DG-A0R-24-49372;;""Music Release"";Stream;13;EUR;0.002891940034;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";India;""RoyalMotion IT"";""Max Mazed"";Prithibi;INTRO;3618023107919;QZ-RP5-25-86525;RMITMAX01;""Music Release"";Stream;1;EUR;0.000129192957;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Bangladesh;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;1501;EUR;0.168059676704;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""United States"";""RoyalMotion IT"";""Ranjan Chowdhury"," Subhamita Banerjee"";""Bolo To Tumi"";""Bolo To Tumi"";3617668545759;FR-10S-25-17317;RMITRC12;""Music Release"";Stream;1;EUR;0.000079964424;90.00"
"01/11/2025;01/11/2025;""YouTube Official Content"";""South Africa"";""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy 2"";3618023588022;QZ-MER-22-66882;RMITAHS027;""Music Release"";Stream;3;EUR;0.001090285975;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";""United States"";""RoyalMotion IT"";""Ahmed Hasan Sunny"";""Ei Shob"";""Ei Shob"";3618023426096;QZ-NWU-22-02702;RMITAHS016;""Music Release"";Stream;3;EUR;0.035782751532;90.00",
"01/11/2025;01/10/2025;""Amazon Music Streaming"";India;""RoyalMotion IT"";""Ranjan Chowdhury"," Subhamita Banerjee"";""Mon jarai kathai kathai"";""Mon jarai kathai kathai"";3617666955628;DG-A0S-24-33927;RMITRC08;""Music Release"";Stream;2;EUR;0.000859515566;90.00"
"01/11/2025;01/11/2025;""YouTube Official Content"";Romania;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;1;EUR;0.000087197232;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";Qatar;""RoyalMotion IT"";""Arif Chowdhury Prince"";""Tomay Vebe Vebe"";""Tomay Vebe Vebe"";7316470349895;HK-K97-22-02083;RMITACP01;""Music Release"";Stream;1;EUR;0.000029346912;90.00",
"01/11/2025;01/10/2025;Yandex;""Russian Federation"";""RoyalMotion IT"";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;""Music Release"";Stream;1;EUR;0.000256806381;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";Canada;""RoyalMotion IT"";""Arif Chowdhury Prince"";""Tomay Vebe Vebe"";""Tomay Vebe Vebe"";7316470349895;HK-K97-22-02083;RMITACP01;""Music Release"";Stream;1;EUR;0.000040302072;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""Saudi Arabia"";""RoyalMotion IT"";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;""Music Release"";Stream;2;EUR;0.000051976800;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Finland;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;1;EUR;0.002918479560;90.00",
"01/11/2025;01/11/2025;""Apple Music"";""United States"";""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Shohorer Gaan"";3618023588022;QZ-MER-22-66883;RMITAHS027;""Music Release"";Stream;1;EUR;0.004951853651;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";Bangladesh;""RoyalMotion IT"";""Band Chandrarango"";""Tomar Kolpona"";""Tomar Kolpona তোমার কল্পনা"";3617666130186;DG-A0R-24-49372;;""Music Release"";Stream;133;EUR;0.000521125920;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";Bangladesh;""RoyalMotion IT"";""Band Chandrarango"";""Tomar Kolpona"";""Tomar Kolpona তোমার কল্পনা"";3617666130186;DG-A0R-24-49372;;""Music Release"";Stream;327;EUR;0.017249249459;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";India;""RoyalMotion IT"";""Rajib Bhattacharjee"";""Ami Abar Shobuj Hobo"";""Ami Abar Shobuj Hobo"";3617669919528;FR-2X4-25-12222;RMITRB06;""Music Release"";Stream;1;EUR;0.000009435816;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";""United States"";""RoyalMotion IT"";""Rajib Bhattacharjee"";""Nodi Tumi Apon Mone"";""Nodi Tumi Apon Mone"";3617668678907;FR-10S-25-27145;RMITRB02;""Music Release"";Stream;1;EUR;0.000684205169;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Poland;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;1;EUR;0.001185177080;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";Malaysia;""RoyalMotion IT"";""Band Chandrarango"";""Tomar Kolpona"";""Tomar Kolpona তোমার কল্পনা"";3617666130186;DG-A0R-24-49372;;""Music Release"";Stream;7;EUR;0.001863932422;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";India;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Ek Din Ek Raat"";3618023588022;QZ-MER-22-66884;RMITAHS027;""Music Release"";Stream;11;EUR;0.005032803049;90.00",
"01/11/2025;01/11/2025;""Apple Music"";""United Kingdom"";""RoyalMotion IT"";""Max Mazed"";""Echoes For the Sleepless"";""Chasing Dreams"";3618023107933;QZ-NWY-21-45920;RMITMAX02;""Music Release"";Stream;1;EUR;0.007016422839;90.00",
"01/11/2025;01/09/2025;""Facebook / Instagram"";Bangladesh;""RoyalMotion IT"";""Purnoy Hoq"";""Pera Nai Chill 2"";""Pera Nai Chill 2"";3617668323364;QZ-TAS-24-88692;RMITPQ01;""Music Release"";Creation;6;EUR;0.000258869716;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""United Arab Emirates"";""RoyalMotion IT"";""Purnoy Hoq"";""Pera Nai Chill 2"";""Pera Nai Chill 2"";3617668323364;QZ-TAS-24-88692;RMITPQ01;""Music Release"";Stream;1;EUR;0.000047498832;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";India;""RoyalMotion IT"";""Purnoy Hoq"";""Pera Nai Chill 2"";""Pera Nai Chill 2"";3617668323364;QZ-TAS-24-88692;RMITPQ01;""Music Release"";Stream;11;EUR;0.000103793976;90.00",
"01/11/2025;01/09/2025;""Facebook / Instagram"";Bangladesh;""RoyalMotion IT"";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;""Music Release"";Creation;12;EUR;0.000517739432;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Bangladesh;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy"";3618023588022;QZ-MER-22-66881;RMITAHS027;""Music Release"";Stream;282;EUR;0.022927734024;90.00",
"01/11/2025;01/09/2025;""Facebook / Instagram"";India;""RoyalMotion IT"";""Rajib Bhattacharjee"";""Bristi Namar Aage"";""Bristi Namar Aage"";3617668990641;FR-10S-25-50215;RMITRB04;""Music Release"";Creation;5;EUR;0.000209854670;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""United Kingdom"";""RoyalMotion IT"";""Max Mazed"";Prithibi;JUPITER;3618023107919;QZ-RP5-25-86529;RMITMAX01;""Music Release"";Stream;2;EUR;0.000095797296;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";""United Kingdom"";""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Ek Din Ek Raat"";3618023588022;QZ-MER-22-66884;RMITAHS027;""Music Release"";Stream;1;EUR;0.006491886110;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";Bangladesh;""RoyalMotion IT"";""Max Mazed"";Prithibi;JUPITER;3618023107919;QZ-RP5-25-86529;RMITMAX01;""Music Release"";Stream;1;EUR;0.000003918240;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Croatia;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy 2"";3618023588022;QZ-MER-22-66882;RMITAHS027;""Music Release"";Stream;1;EUR;0.001798763482;90.00",
"01/11/2025;01/09/2025;""Facebook / Instagram"";India;""RoyalMotion IT"";Dorshon;Shomoy;Shomoy;5063585887249;GX-5MY-24-59870;RMITDS03;""Music Release"";Creation;6;EUR;0.000251825603;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Portugal;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy"";3618023588022;QZ-MER-22-66881;RMITAHS027;""Music Release"";Stream;1;EUR;0.001839476896;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";""United States"";""RoyalMotion IT"";""Rajib Bhattacharjee"";""Amari Mon"";""Amari Mon"";3617668990658;FR-10S-25-50218;RMITRB05;""Music Release"";Stream;1;EUR;0.001240316505;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";""United States"";""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;18;EUR;0.081433719045;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Canada;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Ke Ar Bajate Pare"";3618023588022;QZ-MER-22-66886;RMITAHS027;""Music Release"";Stream;5;EUR;0.016557866762;90.00",
"01/11/2025;01/11/2025;""Apple Music"";""United States"";""RoyalMotion IT"";""Ranjan Chowdhury"," Subhamita Banerjee"";""Mon jarai kathai kathai"";""Mon jarai kathai kathai"";3617666955628;DG-A0S-24-33927;RMITRC08;""Music Release"";Stream;1;EUR;0.006917053836;90.00"
"01/11/2025;01/11/2025;""YouTube Official Content"";Germany;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy 2"";3618023588022;QZ-MER-22-66882;RMITAHS027;""Music Release"";Stream;3;EUR;0.009582014459;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Malaysia;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;13;EUR;0.004404742271;90.00",
"01/11/2025;01/11/2025;""Apple Music"";India;""RoyalMotion IT"";""Ranjan Chowdhury"," Subhamita Banerjee"";""Bolo To Tumi"";""Bolo To Tumi"";3617668545759;FR-10S-25-17317;RMITRC12;""Music Release"";Stream;1;EUR;0.000885498742;90.00"
"01/11/2025;01/11/2025;""YouTube Official Content"";""United States"";""RoyalMotion IT"";""Rajib Bhattacharjee"";""Ekla Pakhi"";""Ekla Pakhi"";3617668678730;FR-10S-25-27118;RMITRB01;""Music Release"";Stream;2;EUR;0.016629345593;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""United Kingdom"";""RoyalMotion IT"";""Max Mazed"";Prithibi;EARTH;3618023107919;QZ-RP5-25-86527;RMITMAX01;""Music Release"";Stream;2;EUR;0.000095797296;90.00",
"01/11/2025;01/09/2025;""Facebook / Instagram"";India;""RoyalMotion IT"";""Purnoy Hoq"";""Pera Nai Chill 2"";""Pera Nai Chill 2"";3617668323364;QZ-TAS-24-88692;RMITPQ01;""Music Release"";Creation;6;EUR;0.000251825603;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";""United States"";""RoyalMotion IT"";""Rajib Bhattacharjee"";""Nodi Tumi Apon Mone"";""Nodi Tumi Apon Mone"";3617668678907;FR-10S-25-27145;RMITRB02;""Music Release"";Stream;5;EUR;0.045888654226;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";Australia;""RoyalMotion IT"";""Band Chandrarango"";""Tomar Kolpona"";""Tomar Kolpona তোমার কল্পনা"";3617666130186;DG-A0R-24-49372;;""Music Release"";Stream;5;EUR;0.025439548105;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";Australia;""RoyalMotion IT"";""Band Chandrarango"";""Tomar Kolpona"";""Tomar Kolpona তোমার কল্পনা"";3617666130186;DG-A0R-24-49372;;""Music Release"";Stream;2;EUR;0.000202309920;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";""United Arab Emirates"";""RoyalMotion IT"";Dorshon;""Mrittu Chithi"";""Mrittu Chithi"";3617666802847;DG-A0S-24-21038;RMITDS01;""Music Release"";Stream;1;EUR;0.002052340727;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";""United States"";""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Ke Ar Bajate Pare"";3618023588022;QZ-MER-22-66886;RMITAHS027;""Music Release"";Stream;13;EUR;0.058784923534;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";Turkey;""RoyalMotion IT"";Dorshon;""Mrittu Chithi"";""Mrittu Chithi"";3617666802847;DG-A0S-24-21038;RMITDS01;""Music Release"";Stream;1;EUR;0.000008316288;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";""United Arab Emirates"";""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Ek Din Ek Raat"";3618023588022;QZ-MER-22-66884;RMITAHS027;""Music Release"";Stream;2;EUR;0.000075335844;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Japan;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy 2"";3618023588022;QZ-MER-22-66882;RMITAHS027;""Music Release"";Stream;4;EUR;0.003528602804;90.00",
"01/11/2025;01/11/2025;""Apple Music"";India;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;7;EUR;0.005637950161;90.00",
"01/11/2025;01/11/2025;""Apple Music"";""United States"";""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Ke Ar Bajate Pare"";3618023588022;QZ-MER-22-66886;RMITAHS027;""Music Release"";Stream;2;EUR;0.007154325213;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Poland;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy 2"";3618023588022;QZ-MER-22-66882;RMITAHS027;""Music Release"";Stream;1;EUR;0.004204119820;90.00",
"01/11/2025;01/11/2025;""YouTube Audio Tier"";""United States"";""RoyalMotion IT"";""Band Chandrarango"";""Tomar Kolpona"";""Tomar Kolpona তোমার কল্পনা"";3617666130186;DG-A0R-24-49372;;""Music Release"";Stream;2;EUR;0.003053124360;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""United States"";""RoyalMotion IT"";""Rajib Bhattacharjee"";""Amari Mon"";""Amari Mon"";3617668990658;FR-10S-25-50218;RMITRB05;""Music Release"";Stream;5;EUR;0.000399822120;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";India;""RoyalMotion IT"";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;""Music Release"";Stream;1;EUR;0.001044494544;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Ukraine;""RoyalMotion IT"";""Max Mazed"";""Echoes For the Sleepless"";""Chasing Dreams"";3618023107933;QZ-NWY-21-45920;RMITMAX02;""Music Release"";Stream;1;EUR;0.001425779766;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Kuwait;""RoyalMotion IT"";Dorshon;Shomoy;Shomoy;5063585887249;GX-5MY-24-59870;RMITDS03;""Music Release"";Stream;1;EUR;0.000554279462;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";India;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Ke Ar Bajate Pare"";3618023588022;QZ-MER-22-66886;RMITAHS027;""Music Release"";Stream;28;EUR;0.020083063866;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";""United States"";""RoyalMotion IT"";Dorshon;Shomoy;Shomoy;5063585887249;GX-5MY-24-59870;RMITDS03;""Music Release"";Stream;1;EUR;0.004724646136;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";""United States"";""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy"";3618023588022;QZ-MER-22-66881;RMITAHS027;""Music Release"";Stream;2;EUR;0.009511517696;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""Saudi Arabia"";""RoyalMotion IT"";Dorshon;""Mrittu Chithi"";""Mrittu Chithi"";3617666802847;DG-A0S-24-21038;RMITDS01;""Music Release"";Stream;2;EUR;0.000051976800;90.00",
"01/11/2025;01/09/2025;""Facebook / Instagram"";India;""RoyalMotion IT"";Dorshon;""Mrittu Chithi"";""Mrittu Chithi"";3617666802847;DG-A0S-24-21038;RMITDS01;""Music Release"";Creation;18;EUR;0.002570817818;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";India;""RoyalMotion IT"";""Ranjan Chowdhury"," Subhamita Banerjee"";""Bolo To Tumi"";""Bolo To Tumi"";3617668545759;FR-10S-25-17317;RMITRC12;""Music Release"";Stream;6;EUR;0.000056614896;90.00"
"01/11/2025;01/10/2025;""Facebook / Instagram"";""United States"";""RoyalMotion IT"";""Rajib Bhattacharjee"";""Ami Abar Shobuj Hobo"";""Ami Abar Shobuj Hobo"";3617669919528;FR-2X4-25-12222;RMITRB06;""Music Release"";Stream;29;EUR;0.002318968296;90.00",
